#Insert size (bp)	insert size
19.0	2.0
24.0	1.0
30.0	1.0
31.0	1.0
33.0	2.0
35.0	3.0
36.0	2.0
37.0	1.0
39.0	2.0
42.0	4.0
43.0	2.0
44.0	1.0
45.0	2.0
46.0	2.0
47.0	1.0
48.0	1.0
50.0	1.0
51.0	1.0
52.0	2.0
53.0	1.0
55.0	3.0
56.0	1.0
57.0	1.0
58.0	1.0
59.0	1.0
60.0	3.0
61.0	5.0
62.0	2.0
63.0	1.0
64.0	1.0
65.0	1.0
66.0	1.0
67.0	2.0
69.0	2.0
70.0	1.0
72.0	4.0
74.0	1.0
75.0	3.0
76.0	2.0
77.0	2.0
78.0	3.0
81.0	3.0
83.0	4.0
84.0	1.0
85.0	5.0
86.0	2.0
87.0	2.0
88.0	3.0
89.0	1.0
90.0	2.0
91.0	4.0
92.0	4.0
93.0	4.0
94.0	2.0
97.0	1.0
98.0	1.0
100.0	3.0
101.0	1.0
103.0	1.0
104.0	2.0
106.0	2.0
107.0	2.0
110.0	2.0
112.0	4.0
113.0	2.0
114.0	3.0
115.0	4.0
116.0	1.0
117.0	1.0
118.0	3.0
119.0	2.0
120.0	2.0
121.0	5.0
122.0	1.0
123.0	3.0
124.0	2.0
125.0	5.0
127.0	6.0
128.0	3.0
129.0	1.0
131.0	2.0
132.0	3.0
133.0	2.0
134.0	4.0
135.0	3.0
136.0	2.0
137.0	2.0
138.0	1.0
139.0	1.0
140.0	1.0
141.0	1.0
142.0	2.0
143.0	3.0
144.0	1.0
145.0	5.0
146.0	4.0
147.0	3.0
148.0	4.0
149.0	4.0
150.0	1.0
151.0	5.0
152.0	5.0
153.0	1.0
155.0	3.0
156.0	1.0
157.0	5.0
158.0	2.0
159.0	3.0
160.0	2.0
161.0	3.0
162.0	3.0
163.0	1.0
164.0	3.0
165.0	3.0
166.0	2.0
167.0	3.0
168.0	1.0
169.0	3.0
170.0	2.0
171.0	1.0
172.0	1.0
173.0	3.0
174.0	3.0
175.0	3.0
176.0	4.0
177.0	4.0
178.0	6.0
179.0	4.0
180.0	6.0
181.0	2.0
182.0	4.0
183.0	1.0
184.0	6.0
185.0	3.0
186.0	3.0
187.0	4.0
189.0	4.0
190.0	2.0
191.0	4.0
192.0	3.0
193.0	2.0
194.0	2.0
195.0	7.0
196.0	6.0
197.0	6.0
198.0	9.0
199.0	3.0
200.0	1.0
201.0	7.0
202.0	1.0
203.0	5.0
204.0	3.0
205.0	1.0
207.0	2.0
208.0	5.0
209.0	7.0
210.0	2.0
211.0	3.0
212.0	4.0
213.0	3.0
214.0	2.0
215.0	3.0
216.0	2.0
217.0	6.0
218.0	3.0
219.0	3.0
220.0	4.0
221.0	4.0
222.0	10.0
223.0	3.0
224.0	1.0
226.0	2.0
227.0	1.0
228.0	4.0
229.0	6.0
230.0	4.0
231.0	2.0
233.0	2.0
234.0	10.0
235.0	3.0
236.0	2.0
237.0	5.0
238.0	3.0
239.0	3.0
240.0	2.0
