#Coverage (X)	Coverage
1.0	63.55570161025304
2.0	63.50312191915872
3.0	63.24679592507394
4.0	63.12191915872494
5.0	62.668419323036474
6.0	62.32007886953664
7.0	61.99145580019717
8.0	61.70883996056523
9.0	61.452513966480446
10.0	60.71639829116004
11.0	59.940847847518896
12.0	59.27045678606638
13.0	58.462044035491296
14.0	57.58790667104831
15.0	56.78606638186001
16.0	56.07624055208676
17.0	54.90634242523826
18.0	53.85474860335196
19.0	52.435096943805455
20.0	51.45580019717384
21.0	50.25303976339139
22.0	49.306605323693724
23.0	48.057837660203745
24.0	46.94051922444955
25.0	46.20440354912915
26.0	45.422280644101214
27.0	44.94906342425238
28.0	44.65987512323365
29.0	44.33782451528097
30.0	44.173512980611235
31.0	44.08807098258298
32.0	44.00262898455472
33.0	43.858034834045355
34.0	43.72658560630957
35.0	43.61485376273415
36.0	43.588563917186995
37.0	43.58199145580021
38.0	43.57541899441342
39.0	43.56227407163984
40.0	43.542556687479475
41.0	43.542556687479475
42.0	43.5294117647059
43.0	43.5294117647059
44.0	43.48997699638516
45.0	43.48997699638516
46.0	43.48997699638516
47.0	43.48340453499837
48.0	43.48340453499837
49.0	43.48340453499837
50.0	43.48340453499837
51.0	43.48340453499837
