#Coverage	Number of genomic locations
0.0	1600.0
1.0	2.0
2.0	1.0
3.0	3.0
9.0	1.0
11.0	1.0
13.0	2.0
14.0	1.0
15.0	1.0
18.0	2.0
31.0	1.0
34.0	1.0
35.0	1.0
36.0	1.0
38.0	2.0
39.0	1.0
40.0	2.0
44.0	1.0
46.0	1.0
47.0	1.0
50.0	2.0
59.0	1.0
61.0	5.0
62.0	3.0
63.0	9.0
64.0	3.0
65.0	2.0
66.0	2.0
67.0	1.0
68.0	1.0
70.0	6.0
73.0	1.0
75.0	1.0
76.0	1.0
77.0	2.0
78.0	1.0
79.0	3.0
81.0	3.0
82.0	3.0
83.0	4.0
84.0	3.0
85.0	1.0
86.0	1.0
87.0	2.0
89.0	6.0
90.0	4.0
91.0	4.0
92.0	11.0
93.0	3.0
94.0	5.0
95.0	3.0
96.0	2.0
97.0	4.0
98.0	2.0
99.0	1.0
100.0	3.0
101.0	1.0
105.0	1.0
106.0	1.0
109.0	2.0
111.0	1.0
112.0	1.0
116.0	1.0
117.0	2.0
118.0	3.0
121.0	2.0
123.0	4.0
126.0	1.0
127.0	1.0
130.0	1.0
131.0	1.0
133.0	3.0
134.0	1.0
135.0	2.0
136.0	2.0
137.0	1.0
138.0	2.0
141.0	1.0
142.0	1.0
145.0	2.0
146.0	1.0
147.0	2.0
148.0	3.0
150.0	2.0
152.0	1.0
155.0	1.0
159.0	3.0
161.0	1.0
163.0	1.0
165.0	1.0
167.0	1.0
169.0	3.0
170.0	1.0
171.0	1.0
172.0	1.0
186.0	2.0
198.0	1.0
200.0	1.0
201.0	1.0
202.0	1.0
204.0	1.0
205.0	1.0
209.0	1.0
211.0	1.0
213.0	1.0
216.0	1.0
219.0	1.0
223.0	2.0
225.0	1.0
228.0	1.0
234.0	1.0
235.0	1.0
236.0	2.0
237.0	1.0
238.0	1.0
240.0	2.0
241.0	2.0
243.0	1.0
246.0	1.0
248.0	1.0
250.0	1.0
251.0	1.0
252.0	2.0
258.0	2.0
261.0	3.0
263.0	3.0
264.0	1.0
266.0	2.0
268.0	1.0
269.0	1.0
270.0	1.0
272.0	1.0
273.0	2.0
274.0	1.0
275.0	1.0
276.0	4.0
277.0	1.0
278.0	2.0
280.0	1.0
281.0	1.0
283.0	1.0
284.0	1.0
285.0	2.0
286.0	2.0
287.0	2.0
288.0	1.0
289.0	2.0
290.0	3.0
291.0	1.0
292.0	4.0
293.0	6.0
295.0	2.0
296.0	5.0
297.0	2.0
298.0	1.0
299.0	2.0
300.0	1.0
301.0	1.0
302.0	2.0
303.0	1.0
305.0	2.0
308.0	2.0
310.0	2.0
311.0	1.0
314.0	1.0
318.0	1.0
319.0	1.0
320.0	4.0
321.0	2.0
322.0	2.0
323.0	1.0
325.0	3.0
327.0	2.0
328.0	4.0
329.0	2.0
330.0	3.0
334.0	1.0
335.0	2.0
336.0	2.0
337.0	3.0
338.0	1.0
339.0	2.0
340.0	1.0
344.0	1.0
346.0	1.0
348.0	2.0
349.0	2.0
351.0	1.0
352.0	2.0
354.0	2.0
356.0	4.0
357.0	2.0
360.0	3.0
361.0	1.0
364.0	2.0
365.0	1.0
366.0	1.0
367.0	2.0
368.0	1.0
369.0	3.0
373.0	1.0
374.0	3.0
375.0	1.0
376.0	1.0
377.0	1.0
378.0	2.0
379.0	1.0
381.0	2.0
382.0	4.0
383.0	1.0
384.0	2.0
385.0	4.0
386.0	1.0
387.0	2.0
388.0	1.0
389.0	2.0
390.0	3.0
391.0	2.0
393.0	8.0
394.0	3.0
395.0	4.0
396.0	5.0
398.0	5.0
399.0	4.0
400.0	1.0
403.0	3.0
404.0	1.0
405.0	1.0
406.0	1.0
410.0	1.0
411.0	5.0
412.0	2.0
413.0	2.0
414.0	2.0
415.0	3.0
416.0	3.0
417.0	1.0
419.0	3.0
420.0	2.0
421.0	4.0
422.0	5.0
423.0	2.0
425.0	1.0
427.0	3.0
428.0	1.0
429.0	2.0
430.0	2.0
431.0	3.0
432.0	2.0
433.0	2.0
434.0	2.0
435.0	1.0
436.0	1.0
438.0	2.0
439.0	1.0
440.0	1.0
441.0	3.0
442.0	1.0
443.0	1.0
444.0	2.0
445.0	3.0
447.0	2.0
448.0	4.0
449.0	3.0
450.0	3.0
451.0	9.0
452.0	4.0
453.0	2.0
454.0	3.0
455.0	2.0
456.0	1.0
457.0	5.0
458.0	3.0
459.0	2.0
460.0	7.0
461.0	3.0
462.0	5.0
463.0	7.0
464.0	1.0
465.0	1.0
466.0	2.0
467.0	2.0
468.0	2.0
469.0	2.0
470.0	1.0
471.0	3.0
472.0	3.0
473.0	2.0
474.0	7.0
475.0	2.0
476.0	2.0
477.0	2.0
478.0	6.0
480.0	2.0
481.0	2.0
482.0	4.0
484.0	2.0
485.0	7.0
486.0	8.0
488.0	2.0
489.0	3.0
490.0	1.0
492.0	2.0
494.0	2.0
495.0	1.0
496.0	1.0
497.0	2.0
498.0	4.0
499.0	4.0
500.0	6.0
501.0	4.0
502.0	1.0
503.0	3.0
504.0	2.0
505.0	1.0
506.0	1.0
507.0	4.0
508.0	3.0
509.0	5.0
510.0	7.0
511.0	3.0
512.0	4.0
513.0	4.0
514.0	7.0
516.0	1.0
517.0	2.0
518.0	5.0
520.0	1.0
521.0	2.0
522.0	3.0
523.0	5.0
524.0	4.0
525.0	8.0
526.0	5.0
527.0	5.0
528.0	5.0
529.0	4.0
530.0	7.0
531.0	8.0
532.0	5.0
533.0	7.0
534.0	4.0
535.0	7.0
536.0	4.0
537.0	3.0
538.0	7.0
539.0	2.0
540.0	5.0
541.0	5.0
542.0	8.0
543.0	4.0
544.0	4.0
545.0	4.0
546.0	7.0
547.0	7.0
548.0	8.0
549.0	6.0
550.0	9.0
551.0	6.0
552.0	5.0
553.0	4.0
554.0	3.0
555.0	3.0
556.0	3.0
558.0	3.0
559.0	6.0
560.0	2.0
561.0	5.0
562.0	11.0
563.0	6.0
564.0	1.0
565.0	4.0
566.0	3.0
567.0	3.0
568.0	1.0
569.0	3.0
570.0	5.0
571.0	4.0
572.0	6.0
573.0	13.0
574.0	9.0
575.0	4.0
576.0	3.0
578.0	2.0
579.0	2.0
580.0	3.0
581.0	6.0
582.0	6.0
583.0	4.0
584.0	7.0
585.0	2.0
586.0	4.0
