#Duplication rate	Coverage
1.0	850.0
2.0	643.0
3.0	519.0
4.0	466.0
5.0	416.0
6.0	325.0
7.0	271.0
8.0	278.0
9.0	262.0
10.0	226.0
11.0	195.0
12.0	197.0
13.0	172.0
14.0	132.0
15.0	165.0
16.0	150.0
17.0	125.0
18.0	122.0
19.0	116.0
20.0	105.0
21.0	116.0
22.0	98.0
23.0	105.0
24.0	109.0
25.0	97.0
26.0	94.0
27.0	78.0
28.0	66.0
29.0	63.0
30.0	64.0
31.0	65.0
32.0	52.0
33.0	75.0
34.0	59.0
35.0	51.0
36.0	59.0
37.0	46.0
38.0	47.0
39.0	49.0
40.0	40.0
41.0	43.0
42.0	48.0
43.0	42.0
44.0	53.0
45.0	38.0
46.0	46.0
47.0	40.0
48.0	41.0
49.0	44.0
50.0	2315.0
